                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.82013,                0.87784,                 1.3058,                 0.7166,                0.70351,                0.77858,                0.60878,                 0.7581,                0.89119,                 1.2412,                0.00074,                0.00074,                0.00074
                     72,                0.82748,                0.88153,                 1.3076,                0.68637,                0.72408,                0.76816,                0.59325,                0.79485,                0.90491,                 1.2719,               0.000722,               0.000722,               0.000722
                     73,                0.83356,                0.89528,                 1.3109,                  0.691,                0.73963,                 0.7783,                0.60878,                0.77694,                0.88672,                 1.2531,               0.000704,               0.000704,               0.000704
                     74,                0.82822,                0.88066,                 1.3122,                0.70955,                0.72523,                0.77797,                0.60773,                0.77305,                0.87633,                 1.2614,               0.000686,               0.000686,               0.000686
                     75,                0.81589,                0.87351,                 1.3031,                0.70219,                 0.7235,                0.77629,                0.60586,                0.76499,                0.88231,                 1.2502,               0.000668,               0.000668,               0.000668
                     76,                0.80868,                0.86392,                 1.2934,                0.71254,                0.72962,                0.78443,                0.60802,                0.78019,                0.88514,                 1.2612,                0.00065,                0.00065,                0.00065
                     77,                0.81562,                0.86592,                 1.2915,                0.69409,                0.71141,                0.77136,                0.60027,                0.76628,                 0.8979,                 1.2486,               0.000632,               0.000632,               0.000632
                     78,                0.80925,                0.87198,                 1.2969,                0.69907,                0.72126,                0.77727,                0.60751,                0.76623,                 0.8881,                 1.2456,               0.000614,               0.000614,               0.000614
                     79,                0.80484,                0.85584,                 1.2887,                0.68484,                0.72235,                0.75875,                0.59005,                0.76987,                0.95572,                 1.2588,               0.000596,               0.000596,               0.000596
                     80,                0.80389,                 0.8537,                 1.2825,                0.71602,                0.72523,                0.78049,                0.60821,                0.77565,                0.88523,                 1.2524,               0.000578,               0.000578,               0.000578
                     81,                0.80196,                0.85131,                 1.2826,                0.69921,                0.73378,                0.77769,                0.60868,                0.76721,                0.89801,                 1.2474,                0.00056,                0.00056,                0.00056
                     82,                0.79981,                0.85084,                 1.2848,                0.70912,                0.71083,                  0.775,                0.60289,                0.77973,                0.88907,                 1.2505,               0.000542,               0.000542,               0.000542
                     83,                0.79855,                0.85087,                 1.2822,                0.69735,                0.71938,                0.77293,                0.59943,                0.77154,                0.91008,                 1.2524,               0.000524,               0.000524,               0.000524
                     84,                0.79899,                0.84269,                 1.2807,                0.69281,                0.73402,                0.78117,                0.61029,                0.77419,                0.87681,                 1.2515,               0.000506,               0.000506,               0.000506
                     85,                0.79053,                0.83302,                 1.2739,                0.70054,                0.71553,                0.77949,                0.60898,                0.77972,                0.88799,                 1.2531,               0.000488,               0.000488,               0.000488
                     86,                0.79487,                0.84282,                 1.2804,                0.69388,                0.72696,                 0.7719,                0.60423,                0.77307,                0.89278,                 1.2469,                0.00047,                0.00047,                0.00047
                     87,                0.79171,                0.84501,                 1.2772,                 0.7094,                0.72005,                0.77499,                 0.6064,                0.77246,                0.89956,                  1.259,               0.000452,               0.000452,               0.000452
                     88,                0.78663,                 0.8254,                 1.2703,                0.69079,                 0.7356,                0.77186,                 0.6028,                0.77688,                0.91805,                 1.2538,               0.000434,               0.000434,               0.000434
                     89,                0.77978,                0.82317,                 1.2663,                0.72514,                0.70449,                0.77529,                0.60465,                0.77026,                0.89051,                 1.2454,               0.000416,               0.000416,               0.000416
                     90,                0.79321,                0.83182,                 1.2754,                 0.7061,                0.72658,                 0.7768,                0.60575,                0.77303,                0.88139,                 1.2533,               0.000398,               0.000398,               0.000398
                     91,                0.78452,                0.81702,                 1.2644,                0.70054,                0.74482,                0.78143,                 0.6111,                0.77274,                0.86842,                 1.2529,                0.00038,                0.00038,                0.00038
                     92,                 0.7762,                0.81548,                 1.2675,                0.69476,                0.73041,                0.78046,                0.61018,                  0.774,                0.88779,                 1.2519,               0.000362,               0.000362,               0.000362
                     93,                0.77303,                0.81354,                 1.2587,                0.73484,                0.70334,                0.77781,                0.60768,                0.75816,                0.87781,                 1.2467,               0.000344,               0.000344,               0.000344
                     94,                0.76591,                0.79775,                  1.253,                0.71455,                0.72869,                0.78425,                0.61389,                0.76532,                0.86682,                  1.252,               0.000326,               0.000326,               0.000326
                     95,                0.75811,                0.79303,                 1.2502,                0.69704,                0.73445,                0.77663,                0.61006,                0.76247,                0.87548,                 1.2539,               0.000308,               0.000308,               0.000308
                     96,                0.76656,                0.79592,                 1.2526,                0.71108,                0.71947,                 0.7813,                0.61284,                0.76104,                0.87602,                 1.2486,                0.00029,                0.00029,                0.00029
                     97,                0.75479,                 0.7918,                 1.2514,                0.67665,                0.75058,                0.77578,                0.60685,                0.76642,                0.86905,                 1.2546,               0.000272,               0.000272,               0.000272
                     98,                 0.7575,                0.79544,                 1.2516,                0.70761,                0.72581,                0.77873,                0.60981,                0.76204,                0.89048,                 1.2486,               0.000254,               0.000254,               0.000254
                     99,                0.75637,                0.79029,                 1.2453,                0.71026,                0.73041,                0.78244,                0.61041,                0.77729,                0.86413,                 1.2582,               0.000236,               0.000236,               0.000236
                    100,                0.75461,                0.78346,                 1.2439,                0.71353,                0.72887,                 0.7773,                0.60705,                 0.7638,                0.86764,                 1.2498,               0.000218,               0.000218,               0.000218
                    101,                0.68031,                0.69541,                 1.1818,                0.70257,                0.72811,                0.77843,                0.60717,                0.76311,                0.87518,                 1.2527,                 0.0002,                 0.0002,                 0.0002
                    102,                0.68218,                0.69106,                 1.1765,                0.73559,                0.70449,                0.78166,                0.61329,                0.76403,                0.85795,                 1.2511,               0.000182,               0.000182,               0.000182
                    103,                 0.6714,                0.67015,                 1.1702,                0.70208,                0.72628,                0.78012,                0.61088,                0.75956,                0.86663,                 1.2428,               0.000164,               0.000164,               0.000164
                    104,                0.66974,                0.66907,                 1.1733,                0.72129,                0.70507,                0.77902,                0.61248,                0.76264,                 0.8644,                 1.2563,               0.000146,               0.000146,               0.000146
                    105,                 0.6671,                 0.6638,                 1.1663,                0.71732,                0.72208,                0.78332,                0.61546,                0.76262,                0.86248,                 1.2517,               0.000128,               0.000128,               0.000128
                    106,                0.66778,                0.66573,                 1.1672,                 0.7176,                 0.7212,                0.78197,                0.61159,                0.76715,                0.86436,                 1.2462,                0.00011,                0.00011,                0.00011
                    107,                0.65961,                0.65511,                 1.1604,                0.70756,                0.73214,                0.78227,                0.61211,                0.76254,                0.86697,                 1.2457,                9.2e-05,                9.2e-05,                9.2e-05
                    108,                0.66133,                0.65217,                 1.1638,                0.72677,                0.70481,                0.78034,                0.61139,                 0.7642,                0.87094,                 1.2531,                7.4e-05,                7.4e-05,                7.4e-05
                    109,                0.66126,                0.65111,                 1.1619,                0.71833,                0.71717,                 0.7814,                0.60995,                0.76293,                 0.8667,                 1.2509,                5.6e-05,                5.6e-05,                5.6e-05
                    110,                0.65652,                0.64606,                 1.1612,                0.72057,                0.70707,                0.78015,                0.61162,                0.76135,                 0.8653,                 1.2481,                3.8e-05,                3.8e-05,                3.8e-05
